,gwb_code_10,gwb_code_8,regio,gm_naam,recs,gwb_code,ind_wbi,a_inw,a_man,a_vrouw,a_00_14,a_15_24,a_25_44,a_45_64,a_65_oo,a_ongeh,a_gehuwd,a_gesch,a_verwed,a_nl_all,a_eur_al,a_neu_al,a_geb_nl,a_geb_eu,a_geb_ne,a_gbl_eu,a_gbl_ne,a_geb,p_geb,a_ste,p_ste,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,g_hhgro,bev_dich,a_woning,g_wozbag,p_1gezw,p_mgezw,p_bewndw,p_leegsw,p_koopw,p_huurw,p_wcorpw,p_ov_hw,p_e_o_w,p_bjj2k,p_bjo2k,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_ele_hu,g_ele_ko,g_gas,g_gas_ap,g_gas_tw,g_gas_hw,g_gas_2w,g_gas_vw,g_gas_hu,g_gas_ko,p_stadsv,a_opl_lg,a_opl_md,a_opl_hg,p_arb_pp,p_arb_wn,p_arb_zs,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,g_hh_sti,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,p_hh_110,p_hh_120,m_hh_ver,a_soz_wb,a_soz_ao,a_soz_ww,a_soz_ow,a_jz_tn,p_jz_tn,a_wmo_t,p_wmo_t,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_oq,a_bed_ru,a_pau,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_m2w,g_afs_hp,g_afs_gs,g_afs_kv,g_afs_sc,g_3km_sc,a_opp_ha,a_lan_ha,a_wat_ha,pst_mvp,pst_dekp,ste_mvs,ste_oad,paid_parking,predicted_paid_parking
133,BU04792130,4792130,Het Eiland,Zaanstad,Buurt,BU04792130,3,1275,640,635,160,175,190,420,330,520,590,85,80,910,125,245,905,65,125,60,125,,,,,535,145,185,205,"2,4",10053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,440,120,1,4387.0,30,,,,,,27,13,15,1506,1,1,3097,False,True
134,BU04792140,4792140,Russische buurt,Zaanstad,Buurt,BU04792140,3,2730,1395,1330,325,280,1045,665,415,1630,760,265,75,1215,630,890,1215,115,365,510,520,,,,,1530,755,420,355,"1,8",7323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,755,175,"0,6",2496.0,80,,,,,,44,37,7,1506,1,1,3467,True,True
135,BU04792210,4792210,Oud West,Zaanstad,Buurt,BU04792210,3,5150,2595,2555,660,615,1690,1305,880,2970,1475,450,255,2695,1220,1240,2695,220,485,995,755,,,,,2775,1425,685,670,"1,8",8382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815,1470,340,"0,7",2951.0,180,,,,,,69,61,8,1506,1,1,3640,True,True
136,BU04792220,4792220,Spoorbuurt,Zaanstad,Buurt,BU04792220,3,860,460,395,100,85,250,225,200,430,250,120,50,430,110,315,430,40,145,70,170,,,,,375,170,100,100,"1,9",2753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,225,105,"0,9",1060.0,15,,,,,,33,31,2,1506,1,1,3310,False,True
137,BU04792230,4792230,Schilders- en Waddenbuurt,Zaanstad,Buurt,BU04792230,3,3080,1585,1495,465,365,845,860,545,1580,1175,225,105,2070,435,570,2075,140,295,295,280,,,,,1400,495,430,480,"2,2",8003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370,1120,250,1,3559.0,140,,,,,,42,38,3,1506,1,1,2793,False,True
138,BU04792311,4792311,Westerspoor,Zaanstad,Buurt,BU04792311,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,110,115,,,0,,,,,,125,115,10,1507,1,4,571,True,False
139,BU04792312,4792312,Westzanerdijk,Zaanstad,Buurt,BU04792312,3,1455,725,730,240,150,340,450,280,755,515,130,50,1085,115,250,1090,55,125,65,120,,,,,655,220,180,255,"2,2",2239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,550,135,"1,1",1057.0,95,,,,,,69,65,4,1507,1,4,999,False,False
140,BU04792313,4792313,Westzijderveld Zuid,Zaanstad,Buurt,BU04792313,3,20,10,10,0,5,10,5,0,20,5,0,0,15,0,5,20,0,5,0,0,,,,,10,10,0,0,"1,7",48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,,,,,44,42,2,1507,1,3,1126,False,False
141,BU04792314,4792314,Zaans Hout,Zaanstad,Buurt,BU04792314,3,3285,1650,1635,540,305,1520,600,315,1970,1015,245,55,1515,455,1320,1510,115,680,340,640,,,,,1715,810,445,460,"1,9",7731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180,940,240,"0,7",2778.0,85,,,,,,46,43,4,1507,1,2,2445,False,True
142,BU04792322,4792322,Westerwatering Noord,Zaanstad,Buurt,BU04792322,3,3775,1905,1870,550,390,850,1185,795,1640,1640,325,170,2590,350,835,2590,140,410,210,425,,,,,1660,520,535,615,"2,3",7104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630,1320,310,1,3068.0,140,,,,,,63,53,10,1507,1,2,1982,True,True
143,BU04792323,4792323,Westerwatering Zuid,Zaanstad,Buurt,BU04792323,3,4850,2445,2400,730,585,1285,1500,745,2275,2145,295,130,2965,495,1385,2965,175,665,320,725,,,,,1990,515,595,880,"2,4",9267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2065,1650,415,1,3946.0,190,,,,,,58,52,5,1507,1,2,2110,True,True
