,gwb_code_10,gwb_code_8,regio,gm_naam,recs,gwb_code,ind_wbi,a_inw,a_man,a_vrouw,a_00_14,a_15_24,a_25_44,a_45_64,a_65_oo,a_ongeh,a_gehuwd,a_gesch,a_verwed,a_nl_all,a_eur_al,a_neu_al,a_geb_nl,a_geb_eu,a_geb_ne,a_gbl_eu,a_gbl_ne,a_geb,p_geb,a_ste,p_ste,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,g_hhgro,bev_dich,a_woning,g_wozbag,p_1gezw,p_mgezw,p_bewndw,p_leegsw,p_koopw,p_huurw,p_wcorpw,p_ov_hw,p_e_o_w,p_bjj2k,p_bjo2k,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_ele_hu,g_ele_ko,g_gas,g_gas_ap,g_gas_tw,g_gas_hw,g_gas_2w,g_gas_vw,g_gas_hu,g_gas_ko,p_stadsv,a_opl_lg,a_opl_md,a_opl_hg,p_arb_pp,p_arb_wn,p_arb_zs,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,g_hh_sti,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,p_hh_110,p_hh_120,m_hh_ver,a_soz_wb,a_soz_ao,a_soz_ww,a_soz_ow,a_jz_tn,p_jz_tn,a_wmo_t,p_wmo_t,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_oq,a_bed_ru,a_pau,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_m2w,g_afs_hp,g_afs_gs,g_afs_kv,g_afs_sc,g_3km_sc,a_opp_ha,a_lan_ha,a_wat_ha,pst_mvp,pst_dekp,ste_mvs,ste_oad,paid_parking,predicted_paid_parking
164,BU04796220,4796220,Noorderham,Zaanstad,Buurt,BU04796220,3,3390,1670,1720,590,390,820,900,690,1675,1245,310,160,2330,210,850,2330,110,405,100,445,,,,,1515,530,420,570,"2,2",6848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505,1275,230,1,3042.0,145,,,,,,58,49,8,1562,1,2,1783,False,True
165,BU04796230,4796230,Krommeniedijk,Zaanstad,Buurt,BU04796230,3,480,235,245,60,60,60,140,155,180,255,15,30,455,15,15,455,10,0,5,5,,,,,190,40,85,75,"2,5",284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,190,50,"1,3",144.0,10,,,,,,195,169,26,1562,1,5,430,False,False
166,BU04796240,4796240,Willis,Zaanstad,Buurt,BU04796240,3,2230,1145,1090,325,390,350,840,320,1055,1000,125,55,1900,115,210,1900,70,105,50,105,,,,,815,120,255,440,"2,7",7898.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145,905,240,"1,4",4059.0,95,,,,,,37,28,9,1562,1,3,1357,False,True
167,BU04797110,4797110,De Zuid,Zaanstad,Buurt,BU04797110,3,1460,740,725,215,150,355,465,270,730,555,115,65,1300,85,85,1295,45,50,40,25,,,,,610,190,190,235,"2,3",114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,705,170,"1,4",69.0,150,,,,,,1409,1280,129,1566,1,5,149,False,False
168,BU04797120,4797120,Centrum,Zaanstad,Buurt,BU04797120,3,6130,3065,3065,910,690,1355,1775,1395,2835,2440,510,345,5225,255,645,5225,135,385,120,255,,,,,2685,830,810,1040,"2,3",2191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3115,2605,515,"1,2",1114.0,430,,,,,,288,280,8,1566,1,4,720,False,False
169,BU04797130,4797130,Westerpolder,Zaanstad,Buurt,BU04797130,3,130,65,65,25,15,30,40,20,60,60,10,5,130,5,5,130,5,0,0,5,,,,,50,10,15,20,"2,9",17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,50,15,,,5,,,,,,789,782,7,1566,1,5,23,False,False
170,BU04797211,4797211,Noorderveen,Zaanstad,Buurt,BU04797211,3,420,225,200,50,55,95,125,95,205,165,30,15,375,20,30,380,10,15,5,10,,,,,180,60,55,65,"2,3",200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,210,70,"1,5",131.0,50,,,,,,223,212,11,1566,1,4,759,False,False
171,BU04797212,4797212,Waterrijk West,Zaanstad,Buurt,BU04797212,3,2015,1030,990,390,350,475,645,150,1115,775,95,30,1530,120,370,1530,70,235,55,130,,,,,690,120,130,445,"2,9",7076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,680,195,"1,3",3059.0,70,,,,,,32,29,4,1567,4,2,1754,True,True
172,BU04797213,4797213,Waterrijk,Zaanstad,Buurt,BU04797213,3,3270,1620,1650,510,560,680,1130,390,1615,1320,245,85,2265,210,800,2260,115,425,95,370,,,,,1215,265,290,655,"2,7",5028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1330,365,"1,4",2609.0,165,,,,,,73,65,8,1566,1,3,1176,True,True
173,BU04797221,4797221,Langeheit Oost,Zaanstad,Buurt,BU04797221,3,115,65,55,15,10,35,30,30,45,60,5,5,100,10,10,100,0,0,5,5,,,,,50,10,25,20,"2,4",297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,65,30,"1,9",239.0,15,,,,,,42,40,3,1566,1,2,1746,False,True
174,BU04797222,4797222,Langeheit West,Zaanstad,Buurt,BU04797222,3,1135,560,570,195,145,255,290,250,545,445,85,55,900,60,170,900,25,110,35,60,,,,,500,140,150,200,"2,3",5695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,425,70,1,2503.0,70,,,,,,20,20,0,1566,1,2,2152,False,True
175,BU04797231,4797231,De Omzoom,Zaanstad,Buurt,BU04797231,3,70,35,30,15,5,20,10,15,35,30,5,5,70,0,0,65,0,0,0,0,,,,,25,0,5,15,3,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,10,,,0,,,,,,162,159,3,1566,2,5,341,False,False
176,BU04797232,4797232,Kreekrijk,Zaanstad,Buurt,BU04797232,3,780,380,400,255,100,260,160,10,470,290,15,5,575,35,175,575,30,125,10,45,,,,,220,15,25,180,"3,5",1525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,225,75,"1,4",586.0,30,,,,,,51,51,0,1567,1,3,1472,False,True
177,BU04797233,4797233,Parkrijk Zuid,Zaanstad,Buurt,BU04797233,3,4545,2230,2315,1190,705,1200,1225,215,2605,1690,210,40,2890,425,1225,2890,165,745,265,480,,,,,1450,170,265,1015,"3,1",9149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,1445,395,"1,3",3701.0,150,,,,,,53,50,3,1567,1,3,1351,True,True
178,BU04797234,4797234,Parkrijk Noord,Zaanstad,Buurt,BU04797234,3,4795,2405,2390,1130,620,1465,1235,335,2665,1710,310,105,2830,360,1605,2830,180,990,185,620,,,,,1790,470,315,1005,"2,7",9832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2035,1600,440,"1,1",4176.0,160,,,,,,51,49,2,1567,1,2,1965,True,True
179,BU04798110,4798110,Westzanerpolder,Zaanstad,Buurt,BU04798110,3,615,445,170,45,85,250,175,60,420,135,50,10,350,55,205,345,15,110,40,100,,,,,125,25,50,55,"2,4",346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,180,65,"1,9",138.0,35,,,,,,210,178,33,1551,1,5,256,False,False
180,BU04798120,4798120,Westzaan Zuid,Zaanstad,Buurt,BU04798120,3,1275,610,660,225,125,330,395,185,660,480,95,35,1050,115,105,1050,60,70,50,40,,,,,550,160,160,225,"2,3",764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,520,140,"1,2",397.0,110,,,,,,178,167,12,1551,1,5,261,False,False
181,BU04798130,4798130,J.J. Allanbuurt,Zaanstad,Buurt,BU04798130,3,660,335,320,85,85,110,235,150,295,300,40,25,605,30,25,605,20,15,10,10,,,,,270,60,105,105,"2,4",175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,305,120,"1,6",113.0,90,,,,,,431,377,54,1551,1,5,274,False,False
182,BU04798140,4798140,Westzaan Noord,Zaanstad,Buurt,BU04798140,3,2440,1205,1235,315,260,445,775,650,1015,1055,230,145,2105,125,210,2105,65,120,60,85,,,,,1115,355,380,380,"2,2",1923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1060,255,"1,2",1038.0,140,,,,,,161,127,34,1551,1,5,410,False,False
183,BU04798150,4798150,Middel,Zaanstad,Buurt,BU04798150,3,105,45,55,5,20,20,35,15,45,50,0,10,95,0,5,90,5,5,5,5,,,,,40,5,15,20,"2,6",85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,40,10,,,5,,,,,,143,121,22,1551,1,5,300,False,False
